Comment,Designator,Footprint,LCSC Part #
1k,R5 R6 R61 R62,R0603,
1uF,C1 C4 C19 C21 C22,C1206,
3.3k,R10 R22 R28 R34 R40 R46 R52 R68 R74 R80 R87 R93,R0402,
5K1,R2,R0603,
10R0,R4 R7 R8 R14 R20 R21 R25 R26 R27 R31 R32 R33 R37 R38 R39 R43 R44 R45 R49 R50 R51 R65 R66 R67 R71 R72 R73 R77 R78 R79 R84 R85 R86 R90 R91 R92,R1206,
10nF,C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17,C0402,
12k,R57 R58,R0603,
20k,R17,R0603,
27K,R16,R0603,
100R,R1,R0603,
100R,R3 R9 R12,R0402,
100R,R19,R1206,
100R,R24 R30 R36 R42 R48 R64 R70 R76 R83 R89 R95,R0402,
100n,C3 C18 C20,C0402,
200R0,R53 R54 R55 R56,R0603,
470R,R11 R23 R29 R35 R41 R47 R63 R69 R75 R81 R88 R94,R0402,
470k,R15,R0603,
BSS84LT1G,Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13,SOT96P237X111-3N,
C16015,D1 D2,DO214AC,
C249880,C2 C23,UD-8X10_NICHICON,
C249935,C24,WCAP-ASLI_16X17(DXL),
C370100,R13 R18,R1206,
C2929443,L1,CY75-100UH,
KT-0603R,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED11 LED12 LED13 LED14 LED15 LED16 LED17,CHIPLED_0603,
LM2596S-5.0_NOPB,IC1,KTT0005B,
LTC6811IG-1#PBF,IC2,SOP50P780X200-48N,
