Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.86,13.46,Top,90.0
C2, 6.10, 5.08,Top,90.0
C5,55.86,13.46,Top,90.0
C6,55.10, 5.08,Top,90.0
C7, 6.86,38.46,Top,90.0
C8, 6.10,30.08,Top,90.0
C9,55.86,38.46,Top,90.0
C10,55.10,30.08,Top,90.0
C11, 6.86,63.46,Top,90.0
C12, 6.10,55.08,Top,90.0
C13,55.86,63.46,Top,90.0
C14,55.10,55.08,Top,90.0
C15, 6.86,88.46,Top,90.0
C16, 6.10,80.08,Top,90.0
C17,55.86,88.46,Top,90.0
C18,55.10,80.08,Top,90.0
LED1, 6.86,21.84,Top,0.0
LED3,55.86,21.84,Top,0.0
LED4, 6.86,46.84,Top,0.0
LED5,55.86,46.84,Top,0.0
LED6, 6.86,71.84,Top,0.0
LED7,55.86,71.84,Top,0.0
LED8, 6.86,96.84,Top,0.0
LED9,55.86,96.84,Top,0.0
R1, 6.86,17.78,Top,90.0
R2, 7.11, 9.91,Top,180.0
R5,55.86,17.78,Top,90.0
R6,56.11, 9.91,Top,180.0
R7, 6.86,42.78,Top,90.0
R8, 7.11,34.91,Top,180.0
R9,55.86,42.78,Top,90.0
R10,56.11,34.91,Top,180.0
R11, 6.86,67.78,Top,90.0
R12, 7.11,59.91,Top,180.0
R13,55.86,67.78,Top,90.0
R14,56.11,59.91,Top,180.0
R15, 6.86,92.78,Top,90.0
R16, 7.11,84.91,Top,180.0
R17,55.86,92.78,Top,90.0
R18,56.11,84.91,Top,180.0
