Comment,Designator,Footprint,LCSC Part #
1k,R61 R62,R0603,
3.3k,R10 R24 R30 R36 R42 R48 R64 R70 R76 R82 R88 R94,R0402,
5K1,R1 R2,R0603,
10R0,R7 R8 R9 R17 R18 R19 R27 R28 R29 R33 R34 R35 R39 R40 R41 R45 R46 R47 R51 R52 R63 R67 R68 R69 R73 R74 R75 R79 R80 R81 R85 R86 R87 R91 R92 R93,R1206,
10nF,C4 C5 C7 C8 C9 C10 C11 C12 C13 C14 C15 C17 C20,C0402,
12k,R57 R58,R0603,
20k,R6,R0603,
27K,R16,R0603,
27k,R60,R0603,
100R,R3 R4 R5 R13 R26 R32 R38 R44 R50 R66 R72 R78 R84 R90 R96,R0402,
100nF,C16 C18 C19 C21,C1206,
200R0,R53 R54 R55 R56,R0603,
300k,R59,R0603,
470R,R11 R25 R31 R37 R43 R49 R65 R71 R77 R83 R89 R95,R0402,
510k,R15,R0603,
C8547,Q1 Q2 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13,PG-SOT-23,
KT-0603R,LED1 LED2 LED3 LED4 LED5 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17,CHIPLED_0603,
SM4007PL-TP,D2 D3,SODFL3616X135N,
