Designator,Mid X,Mid Y,Layer,Rotation
C4,31.24,12.95,Top,270.0
C5,22.23, 5.59,Top,180.0
C7,31.24,20.07,Top,270.0
C8,31.24,16.51,Top,270.0
C9,31.24,23.62,Top,270.0
C10,31.24,27.18,Top,270.0
C11,31.24,30.73,Top,270.0
C12,31.24,34.29,Top,270.0
C13,31.24,37.85,Top,270.0
C14,31.24,41.40,Top,270.0
C15,31.24,44.96,Top,270.0
C16,92.96,30.99,Top,270.0
C17,31.24,48.51,Top,270.0
C18,62.61,74.68,Top,0.0
C19,62.61,71.50,Top,0.0
C20,31.24,52.07,Top,270.0
C21,39.12,62.74,Top,90.0
D2,44.96,71.76,Top,0.0
D3, 9.91, 7.11,Top,270.0
LED1,61.60,88.27,Top,180.0
LED2,61.60,91.44,Top,180.0
LED3,61.60,94.62,Top,180.0
LED4,61.60,97.79,Top,180.0
LED5,21.84,11.68,Top,90.0
LED7,21.84,18.80,Top,90.0
LED8,21.84,15.24,Top,90.0
LED9,21.84,22.35,Top,90.0
LED10,21.84,25.91,Top,90.0
LED11,21.84,29.46,Top,90.0
LED12,21.84,33.02,Top,90.0
LED13,21.84,36.58,Top,90.0
LED14,21.84,40.13,Top,90.0
LED15,21.84,43.69,Top,90.0
LED16,21.84,47.24,Top,90.0
LED17,21.84,50.80,Top,90.0
Q1,25.27,12.70,Top,0.0
Q2,25.27,19.81,Top,0.0
Q4,25.27,16.26,Top,0.0
Q5,25.27,23.37,Top,0.0
Q6,25.27,26.92,Top,0.0
Q7,25.27,30.48,Top,0.0
Q8,25.27,34.04,Top,0.0
Q9,25.27,37.59,Top,0.0
Q10,25.27,41.15,Top,0.0
Q11,25.27,44.70,Top,0.0
Q12,25.27,48.26,Top,0.0
Q13,25.27,51.82,Top,0.0
R1,85.73,82.55,Top,0.0
R2,85.73,74.93,Top,0.0
R3,25.27, 5.59,Top,180.0
R4,35.81,60.96,Top,180.0
R5,93.85,59.94,Top,270.0
R6,94.23,52.58,Top,270.0
R7,10.79,13.46,Top,0.0
R8,15.88,13.46,Top,0.0
R9,20.96,13.46,Top,0.0
R10,29.08,11.68,Top,180.0
R11,18.80,11.68,Top,180.0
R13,29.08,13.72,Top,180.0
R15,64.01,55.98,Top,90.0
R16,61.98,55.98,Top,270.0
R17,10.79,20.57,Top,0.0
R18,15.88,20.57,Top,0.0
R19,20.96,20.57,Top,0.0
R24,29.08,18.80,Top,180.0
R25,18.80,18.80,Top,180.0
R26,29.08,20.83,Top,180.0
R27,10.79,17.02,Top,0.0
R28,15.88,17.02,Top,0.0
R29,20.96,17.02,Top,0.0
R30,29.08,15.24,Top,180.0
R31,18.80,15.24,Top,180.0
R32,29.08,17.27,Top,180.0
R33,10.79,24.13,Top,0.0
R34,15.88,24.13,Top,0.0
R35,20.96,24.13,Top,0.0
R36,29.08,22.35,Top,180.0
R37,18.80,22.35,Top,180.0
R38,29.08,24.38,Top,180.0
R39,10.79,27.69,Top,0.0
R40,15.88,27.69,Top,0.0
R41,20.96,27.69,Top,0.0
R42,29.08,25.91,Top,180.0
R43,18.80,25.91,Top,180.0
R44,29.08,27.94,Top,180.0
R45,10.79,31.24,Top,0.0
R46,15.88,31.24,Top,0.0
R47,20.96,31.24,Top,0.0
R48,29.08,29.46,Top,180.0
R49,18.80,29.46,Top,180.0
R50,29.08,31.50,Top,180.0
R51,10.79,34.80,Top,0.0
R52,15.88,34.80,Top,0.0
R53,64.14,88.27,Top,180.0
R54,64.14,91.44,Top,180.0
R55,64.14,94.62,Top,180.0
R56,64.14,97.79,Top,180.0
R57, 7.87,57.79,Top,270.0
R58, 7.87,62.87,Top,270.0
R59,66.04,55.98,Top,90.0
R60,68.07,55.98,Top,270.0
R61,85.73,78.11,Top,180.0
R62,85.73,85.73,Top,180.0
R63,20.96,34.80,Top,0.0
R64,29.08,33.02,Top,180.0
R65,18.80,33.02,Top,180.0
R66,29.08,35.05,Top,180.0
R67,10.79,38.35,Top,0.0
R68,15.88,38.35,Top,0.0
R69,20.96,38.35,Top,0.0
R70,29.08,36.58,Top,180.0
R71,18.80,36.58,Top,180.0
R72,29.08,38.61,Top,180.0
R73,10.79,41.91,Top,0.0
R74,15.88,41.91,Top,0.0
R75,20.96,41.91,Top,0.0
R76,29.08,40.13,Top,180.0
R77,18.80,40.13,Top,180.0
R78,29.08,42.16,Top,180.0
R79,10.79,45.47,Top,0.0
R80,15.88,45.47,Top,0.0
R81,20.96,45.47,Top,0.0
R82,29.08,43.69,Top,180.0
R83,18.80,43.69,Top,180.0
R84,29.08,45.72,Top,180.0
R85,10.79,49.02,Top,0.0
R86,15.88,49.02,Top,0.0
R87,20.96,49.02,Top,0.0
R88,29.08,47.24,Top,180.0
R89,18.80,47.24,Top,180.0
R90,29.08,49.28,Top,180.0
R91,10.79,52.58,Top,0.0
R92,15.88,52.58,Top,0.0
R93,20.96,52.58,Top,0.0
R94,29.08,50.80,Top,180.0
R95,18.80,50.80,Top,180.0
R96,29.08,52.83,Top,180.0
