Designator,Mid X,Mid Y,Layer,Rotation
C4,36.58,35.56,Top,270.0
C5,16.76, 4.83,Top,180.0
C6, 9.40, 6.86,Top,180.0
C7, 9.40,10.41,Top,180.0
C8, 9.40,17.53,Top,180.0
C9, 9.40,13.97,Top,180.0
C10, 9.40,21.08,Top,180.0
C11, 9.40,24.64,Top,180.0
C12, 9.40,28.19,Top,180.0
C13, 9.40,31.75,Top,180.0
C14, 9.40,35.31,Top,180.0
C15, 9.40,38.86,Top,180.0
C16, 9.40,42.42,Top,180.0
C17, 9.40,45.97,Top,180.0
C18,36.58,40.64,Top,270.0
C19,36.58,45.72,Top,90.0
C20,24.38,52.07,Top,270.0
C44,66.76, 4.83,Top,180.0
C45,59.40,10.41,Top,180.0
C46,59.40, 6.86,Top,180.0
C47,59.40,13.97,Top,180.0
C48,59.40,17.53,Top,180.0
C49,59.40,21.08,Top,180.0
C50,59.40,24.64,Top,180.0
C51,59.40,28.19,Top,180.0
C52,59.40,31.75,Top,180.0
C53,59.40,35.31,Top,180.0
C54,59.40,38.86,Top,180.0
C55,59.40,42.42,Top,180.0
C56,59.40,45.97,Top,180.0
C57,86.58,35.56,Top,270.0
C58,86.58,40.64,Top,270.0
C59,86.58,45.72,Top,90.0
C60,74.38,52.07,Top,270.0
D2,12.88,86.20,Top,0.0
D3,10.37, 3.76,Top,180.0
D5,62.88,86.20,Top,0.0
D6,60.37, 3.76,Top,180.0
LED1,29.97,97.79,Top,0.0
LED2,27.94,97.79,Top,0.0
LED3,25.91,97.79,Top,0.0
LED4,23.88,97.79,Top,0.0
LED5,21.84, 6.86,Top,90.0
LED6,21.84,10.41,Top,90.0
LED7,21.84,17.53,Top,90.0
LED8,21.84,13.97,Top,90.0
LED9,21.84,21.08,Top,90.0
LED11,21.84,24.64,Top,90.0
LED12,21.84,28.19,Top,90.0
LED13,21.84,31.75,Top,90.0
LED14,21.84,35.31,Top,90.0
LED15,21.84,38.86,Top,90.0
LED16,21.84,42.42,Top,90.0
LED17,21.84,45.97,Top,90.0
LED33,73.88,97.79,Top,0.0
LED34,79.97,97.79,Top,0.0
LED35,77.94,97.79,Top,0.0
LED36,75.91,97.79,Top,0.0
LED37,71.84,10.41,Top,90.0
LED38,71.84, 6.86,Top,90.0
LED39,71.84,13.97,Top,90.0
LED40,71.84,17.53,Top,90.0
LED41,71.84,21.08,Top,90.0
LED42,71.84,24.64,Top,90.0
LED43,71.84,28.19,Top,90.0
LED44,71.84,31.75,Top,90.0
LED45,71.84,35.31,Top,90.0
LED46,71.84,38.86,Top,90.0
LED47,71.84,42.42,Top,90.0
LED48,71.84,45.97,Top,90.0
Q2,25.02, 8.13,Top,180.0
Q3,25.02,11.68,Top,180.0
Q4,25.02,18.80,Top,180.0
Q5,25.02,15.24,Top,180.0
Q6,25.02,22.35,Top,180.0
Q7,25.02,25.91,Top,180.0
Q8,25.02,29.46,Top,180.0
Q9,25.02,33.02,Top,180.0
Q10,25.02,36.58,Top,180.0
Q11,25.02,40.13,Top,180.0
Q12,25.02,43.69,Top,180.0
Q13,25.02,47.24,Top,180.0
