Comment,Designator,Footprint,LCSC Part #
1k,C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C17 R61 R62,R0603,
3.3k,R13 R21 R27 R33 R39 R45 R51 R67 R73 R79 R86 R98,R0402,
5K1,R1 R2,R0603,
10R0,R9 R12 R14 R17 R18 R20 R24 R25 R26 R30 R31 R32 R36 R37 R38 R42 R43 R44 R48 R49 R50 R64 R65 R66 R70 R71 R72 R76 R77 R78 R83 R84 R85 R95 R96 R97,R1206,
12k,R57 R58,R0603,
20k,R6,R0603,
27K,R16,R0603,
27k,R60,R0603,
100R,R3,R0402,
100R,R5,R0603,
100R,R19 R23 R29 R35 R41 R47 R63 R69 R75 R81 R88 R100,R0402,
200R0,R53 R54 R55 R56,R0603,
300k,R59,R0603,
470R,R22 R28 R34 R40 R46 R52 R68 R74 R80 R82 R87 R99,R0402,
510k,R15,R0603,
BSS308PEH6327XTSA1,Q1 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q14,PG-SOT-23,
KT-0603R,LED1 LED2 LED3 LED4 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED18,CHIPLED_0603,
SM4007PL-TP,D2 D3,SODFL3616X135N,
