Designator,Mid X,Mid Y,Layer,Rotation
C4,31.62,11.56,Top,270.0
C5,22.35, 9.02,Top,180.0
C6,31.62,15.11,Top,270.0
C7,31.62,18.67,Top,270.0
C8,31.62,22.23,Top,270.0
C9,31.62,25.78,Top,270.0
C10,31.62,29.34,Top,270.0
C11,31.62,32.89,Top,270.0
C12,31.62,47.12,Top,270.0
C13,31.62,36.45,Top,270.0
C14,31.62,50.67,Top,270.0
C15,31.62,40.01,Top,270.0
C16,92.96,30.99,Top,270.0
C17,31.62,43.56,Top,270.0
C18,55.37,78.74,Top,0.0
C19,55.37,73.15,Top,0.0
C21,39.12,62.74,Top,90.0
D2,25.40,65.41,Top,0.0
D3, 6.99, 4.19,Top,270.0
LED1,61.60,88.27,Top,180.0
LED2,61.60,91.44,Top,180.0
LED3,61.60,94.62,Top,180.0
LED4,61.60,97.79,Top,180.0
LED6,22.23,13.84,Top,90.0
LED7,22.23,17.40,Top,90.0
LED8,22.23,20.96,Top,90.0
LED9,22.23,24.51,Top,90.0
LED10,22.23,10.29,Top,90.0
LED11,22.23,28.07,Top,90.0
LED12,22.23,31.62,Top,90.0
LED13,22.23,45.85,Top,90.0
LED14,22.23,35.18,Top,90.0
LED15,22.23,49.40,Top,90.0
LED16,22.23,38.73,Top,90.0
LED18,22.23,42.29,Top,90.0
Q1,25.65,11.43,Top,0.0
Q3,25.65,14.86,Top,0.0
Q4,25.65,18.29,Top,0.0
Q5,25.65,21.84,Top,0.0
Q6,25.65,25.53,Top,0.0
Q7,25.65,29.08,Top,0.0
Q8,25.65,32.64,Top,0.0
Q9,25.65,46.86,Top,0.0
Q10,25.65,36.20,Top,0.0
Q11,25.65,50.42,Top,0.0
Q12,25.65,39.75,Top,0.0
Q14,25.65,43.31,Top,0.0
R1,85.73,82.55,Top,0.0
R2,85.73,74.93,Top,0.0
R3,25.40, 9.02,Top,180.0
R4,35.81,60.96,Top,180.0
R5,64.14,44.45,Top,90.0
R6,67.95,44.45,Top,90.0
R9,21.34,12.07,Top,0.0
R12,11.18,15.62,Top,0.0
R13,29.46,10.29,Top,180.0
R14,16.26,15.62,Top,0.0
R15,64.01,56.03,Top,270.0
R16,61.98,56.03,Top,90.0
R17,11.18,12.07,Top,0.0
R18,16.26,12.07,Top,0.0
R19,29.46,12.32,Top,180.0
R20,21.34,15.62,Top,0.0
R21,29.46,13.84,Top,180.0
R22,19.18,13.84,Top,180.0
R23,29.46,15.88,Top,180.0
R24,11.18,19.18,Top,0.0
R25,16.26,19.18,Top,0.0
R26,21.34,19.18,Top,0.0
R27,29.46,17.40,Top,180.0
R28,19.18,17.40,Top,180.0
R29,29.46,19.43,Top,180.0
R30,11.18,22.73,Top,0.0
R31,16.26,22.73,Top,0.0
R32,21.34,22.73,Top,0.0
R33,29.46,20.96,Top,180.0
R34,19.18,20.96,Top,180.0
R35,29.46,22.99,Top,180.0
R36,11.18,26.29,Top,0.0
R37,16.26,26.29,Top,0.0
R38,21.34,26.29,Top,0.0
R39,29.46,24.51,Top,180.0
R40,19.18,24.51,Top,180.0
R41,29.46,26.54,Top,180.0
R42,11.18,29.85,Top,0.0
R43,16.26,29.85,Top,0.0
R44,21.34,29.85,Top,0.0
R45,29.46,28.07,Top,180.0
R46,19.18,28.07,Top,180.0
R47,29.46,30.10,Top,180.0
R48,11.18,33.40,Top,0.0
R49,16.26,33.40,Top,0.0
R50,21.34,33.40,Top,0.0
R51,29.46,31.62,Top,180.0
R52,19.18,31.62,Top,180.0
R53,64.14,88.27,Top,180.0
R54,64.14,91.44,Top,180.0
R55,64.14,94.62,Top,180.0
R56,64.14,97.79,Top,180.0
R57, 7.87,57.79,Top,270.0
R58, 7.87,62.87,Top,270.0
R59,66.04,56.03,Top,270.0
R60,68.07,56.03,Top,90.0
R61,85.73,78.11,Top,180.0
R62,85.73,85.73,Top,180.0
R63,29.46,33.66,Top,180.0
R64,11.18,47.63,Top,0.0
R65,16.26,47.63,Top,0.0
R66,21.34,47.63,Top,0.0
R67,29.46,45.85,Top,180.0
R68,19.18,45.85,Top,180.0
R69,29.46,47.88,Top,180.0
R70,11.18,36.96,Top,0.0
R71,16.26,36.96,Top,0.0
R72,21.34,36.96,Top,0.0
R73,29.46,35.18,Top,180.0
R74,19.18,35.18,Top,180.0
R75,29.46,37.21,Top,180.0
R76,11.18,51.18,Top,0.0
R77,16.26,51.18,Top,0.0
R78,21.34,51.18,Top,0.0
R79,29.46,49.40,Top,180.0
R80,19.18,49.40,Top,180.0
R81,29.46,51.44,Top,180.0
R82,19.18,10.29,Top,180.0
R83,11.18,40.51,Top,0.0
R84,16.26,40.51,Top,0.0
R85,21.34,40.51,Top,0.0
R86,29.46,38.73,Top,180.0
R87,19.18,38.73,Top,180.0
R88,29.46,40.77,Top,180.0
R95,11.18,44.07,Top,0.0
R96,16.26,44.07,Top,0.0
R97,21.34,44.07,Top,0.0
R98,29.46,42.29,Top,180.0
R99,19.18,42.29,Top,180.0
R100,29.46,44.32,Top,180.0
