Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.86,13.46,Top,90.0
C2, 6.10, 3.56,Top,90.0
C5, 6.86,38.46,Top,90.0
C6, 6.10,28.56,Top,90.0
C7, 6.86,63.46,Top,90.0
C8, 6.10,53.56,Top,90.0
C9,55.86,13.46,Top,90.0
C10,55.10, 3.56,Top,90.0
C11, 6.86,88.46,Top,90.0
C12, 6.10,78.56,Top,90.0
C13,55.86,38.46,Top,90.0
C14,55.10,28.56,Top,90.0
C15,55.86,63.46,Top,90.0
C16,55.10,53.56,Top,90.0
C17,55.86,88.46,Top,90.0
C18,55.10,78.56,Top,90.0
LED1, 6.86,21.84,Top,0.0
LED3, 6.86,46.84,Top,0.0
LED4, 6.86,71.84,Top,0.0
LED5,55.86,21.84,Top,0.0
LED6, 6.86,96.84,Top,0.0
LED7,55.86,46.84,Top,0.0
LED8,55.86,71.84,Top,0.0
LED9,55.86,96.84,Top,0.0
R1, 6.86,17.78,Top,90.0
R2,37.34,20.32,Top,180.0
R3,37.34,22.61,Top,180.0
R4,33.27,20.32,Top,180.0
R5,29.21,20.32,Top,180.0
R6,25.15,20.32,Top,180.0
R7,21.08,20.32,Top,180.0
R8,33.27,22.61,Top,180.0
R9,21.08,13.21,Top,0.0
R10,25.15,13.21,Top,0.0
R11,29.21,13.21,Top,0.0
R12,33.27,13.21,Top,0.0
R13,29.21,22.61,Top,180.0
R14,37.34,13.21,Top,0.0
R15,37.08, 1.27,Top,180.0
R18,25.15,22.61,Top,180.0
R23,21.08,22.61,Top,180.0
R28,21.08,11.18,Top,0.0
R33,25.15,11.18,Top,0.0
R38,29.21,11.18,Top,0.0
R43,33.27,11.18,Top,0.0
R45,37.34,11.18,Top,0.0
R46, 6.86,42.78,Top,90.0
R47,37.34,47.61,Top,180.0
R48,33.27,47.61,Top,180.0
R49,29.21,47.61,Top,180.0
R50,25.15,47.61,Top,180.0
R51,21.08,47.61,Top,180.0
R52,21.08,36.18,Top,0.0
R53,37.08, 3.30,Top,180.0
R54,25.15,36.18,Top,0.0
R55,29.21,36.18,Top,0.0
R56,33.27,36.18,Top,0.0
R57,37.34,36.18,Top,0.0
R58,37.08,28.30,Top,180.0
R59,37.34,45.32,Top,180.0
R60,33.27,45.32,Top,180.0
R61,29.21,45.32,Top,180.0
R62,25.15,45.32,Top,180.0
R63,21.08,45.32,Top,180.0
R64,21.08,38.21,Top,0.0
R65,25.15,38.21,Top,0.0
R66,29.21,38.21,Top,0.0
R67,33.27,38.21,Top,0.0
R68,37.34,38.21,Top,0.0
R69,37.08,26.27,Top,180.0
R70, 6.86,67.78,Top,90.0
R71,37.34,72.61,Top,180.0
R72,33.27,72.61,Top,180.0
R73,29.21,72.61,Top,180.0
R74,25.15,72.61,Top,180.0
R75,21.08,72.61,Top,180.0
R76,21.08,61.18,Top,0.0
R77,25.15,61.18,Top,0.0
R78,29.21,61.18,Top,0.0
R79,33.27,61.18,Top,0.0
R80,37.34,61.18,Top,0.0
R81,37.08,53.30,Top,180.0
R82,37.34,70.32,Top,180.0
R83,33.27,70.32,Top,180.0
R84,29.21,70.32,Top,180.0
R85,25.15,70.32,Top,180.0
R86,21.08,70.32,Top,180.0
R87,21.08,63.21,Top,0.0
R88,25.15,63.21,Top,0.0
R89,29.21,63.21,Top,0.0
R90,33.27,63.21,Top,0.0
R91,37.34,63.21,Top,0.0
R92,37.08,51.27,Top,180.0
R93,55.86,17.78,Top,90.0
R94,86.34,22.61,Top,180.0
R95,82.27,22.61,Top,180.0
R96,78.21,22.61,Top,180.0
R97,74.15,22.61,Top,180.0
R98,70.08,22.61,Top,180.0
R99,70.08,11.18,Top,0.0
R100,74.15,11.18,Top,0.0
R101,78.21,11.18,Top,0.0
R102,82.27,11.18,Top,0.0
R103,86.34,11.18,Top,0.0
R104,86.08, 3.30,Top,180.0
R105,86.34,20.32,Top,180.0
R106,82.27,20.32,Top,180.0
R107,78.21,20.32,Top,180.0
R108,74.15,20.32,Top,180.0
R109,70.08,20.32,Top,180.0
R110,70.08,13.21,Top,0.0
R111,74.15,13.21,Top,0.0
R112,78.21,13.21,Top,0.0
R113,82.27,13.21,Top,0.0
R114,86.34,13.21,Top,0.0
R115,86.08, 1.27,Top,180.0
R116, 6.86,92.78,Top,90.0
R117,37.34,97.61,Top,180.0
R118,33.27,97.61,Top,180.0
R119,29.21,97.61,Top,180.0
R120,25.15,97.61,Top,180.0
R121,21.08,97.61,Top,180.0
R122,21.08,86.18,Top,0.0
R123,25.15,86.18,Top,0.0
R124,29.21,86.18,Top,0.0
R125,33.27,86.18,Top,0.0
R126,37.34,86.18,Top,0.0
R127,37.08,78.30,Top,180.0
R128,37.34,95.32,Top,180.0
R129,33.27,95.32,Top,180.0
R130,29.21,95.32,Top,180.0
R131,25.15,95.32,Top,180.0
R132,21.08,95.32,Top,180.0
R133,21.08,88.21,Top,0.0
R134,25.15,88.21,Top,0.0
R135,29.21,88.21,Top,0.0
R136,33.27,88.21,Top,0.0
R137,37.34,88.21,Top,0.0
R138,37.08,76.27,Top,180.0
R139,55.86,42.78,Top,90.0
R140,86.34,47.61,Top,180.0
