Comment,Designator,Footprint,LCSC Part #
1k,R5 R6 R61 R62 R185 R186 R263 R264,R0603,
3.3k,R10 R22 R28 R34 R40 R46 R52 R68 R74 R80 R87 R93 R191 R197 R203 R209 R215 R221 R227 R233 R239 R245 R251 R257,R0402,
5K1,R1 R2 R177 R178,R0603,
10R0,R4 R7 R8 R14 R20 R21 R25 R26 R27 R31 R32 R33 R37 R38 R39 R43 R44 R45 R49 R50 R51 R65 R66 R67 R71 R72 R73 R77 R78 R79 R84 R85 R86 R90 R91 R92 R188 R189 R190 R194 R195 R196 R200 R201 R202 R206 R207 R208 R212 R213 R214 R218 R219 R220 R224 R225 R226 R230 R231 R232 R236 R237 R238 R242 R243 R244 R248 R249 R250 R254 R255 R256,R1206,
10nF,C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C44 C45 C46 C47 C48 C49 C50 C51 C52 C53 C54 C55 C56,C0402,
12k,R57 R58 R261 R262,R0603,
27K,R16 R180,R0603,
100R,R3 R9 R12 R24 R30 R36 R42 R48 R64 R70 R76 R83 R89 R95 R187 R193 R199 R205 R211 R217 R223 R229 R235 R241 R247 R253 R259 R260,R0402,
100n,C20 C60,C0402,
100nF,C4 C18 C19 C57 C58 C59,C1206,
200R0,R53 R54 R55 R56 R181 R182 R183 R184,R0603,
470R,R11 R23 R29 R35 R41 R47 R63 R69 R75 R81 R88 R94 R192 R198 R204 R210 R216 R222 R228 R234 R240 R246 R252 R258,R0402,
470k,R15 R179,R0603,
BSS84LT1G,Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13 Q25 Q26 Q27 Q28 Q29 Q30 Q31 Q32 Q33 Q34 Q35 Q36,SOT96P237X111-3N,
KT-0603R,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48,CHIPLED_0603,
SM4007PL-TP,D2 D3 D5 D6,SODFL3616X135N,
