Comment,Designator,Footprint,LCSC Part #
1uF,C2 C9 C24 C26 CS1 D4 D5 D6 D8 D10 D12 D14 D16 D18 D20 D22 D24 R5 C1 C4 C5 C7 C8 C19,C0402,
1uF,C27,C0603,
3.3k,R97 R102 R106 R114 R122 R130 R138 R146 R154 R162 R170 R178,R0402,
3k3,R55,R0402,
5K1,R10 R11,R0402,
10R0,R82 R96 R100 R101 R104 R105 R112 R113 R120 R121 R128 R129 R136 R137 R144 R145 R152 R153 R160 R161 R168 R169 R176 R177,R1206,
10k,R2,R0402,
10k,R3,R0603,
10k,R6,R0402,
10k,R7,R0603,
10nF,C6 C23 C25 C28 C29 C31 C33 C35 C37 C39 C41 C43 C45 C47,C0402,
12k,R57 R58,R0402,
20k,R17,R0603,
27K,R16,R0402,
47µF,C12,C1206,
100R,R1,R0603,
100R,R9,R0402,
100R,R19,R1206,
100R,R60 R98 R103 R107 R115 R123 R131 R139 R147 R155 R163 R171 R179,R0402,
100nF,C3 C10 C11,C0402,
100nF,C20 C21,C0805,
120R,R12,R0402,
470k,R15,R0402,
C8547,Q14 Q15 Q16 Q18 Q20 Q22 Q24 Q26 Q28 Q30 Q32 Q34,PG-SOT-23,
C13564,R4 R8,R0603,
C16015,D1 D2 D3 D7,DO214AC,
C98655,IC4,SOT223,
C370100,R18 R59,R1206,
C2929443,L1,CY75-100UH,C2929443
ESP32-C6-MINI-1-N4,U1,XCVR_ESP32-C6-MINI-1-N4,C5736265
ISO1042DWV,IC3,SOIC127P1150X280-8N,C528763
LTC6811IG-1#PBF,IC2,SOP50P780X200-48N,
TPB2 54,RX,B2 54,
TPB2 54,TX,B2 54,
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,C165948
XL-1615RGBC-WS2812B,LED2,XL-1615RGBC-WS2812B,C5349954
XL7046,IC1,SOIC127P600X170-9N,C2843193
