Designator,Mid X,Mid Y,Layer,Rotation
C1,44.45,34.80,Top,0.0
C2,36.70,49.58,Top,0.0
C3,37.54,72.13,Top,90.0
C4,44.45,33.75,Top,0.0
C5,37.05,86.35,Top,270.0
C6,40.30,86.35,Top,270.0
C7,30.85,88.70,Top,270.0
C8,25.20,83.90,Top,0.0
C9, 3.80,81.25,Top,270.0
C10,32.75,22.00,Top,90.0
C11,42.30,14.00,Top,0.0
C12,42.35,10.90,Top,90.0
C13, 3.20,84.40,Top,270.0
C14, 1.45,90.50,Top,90.0
C15, 3.15,90.95,Top,90.0
C16, 8.65,81.25,Top,270.0
C17,22.05,95.75,Top,270.0
C19,44.45,35.85,Top,0.0
C20,33.25,44.72,Top,0.0
C21,33.47,76.71,Top,270.0
C23,44.30,29.65,Top,0.0
C24,38.12,91.39,Top,0.0
C25,25.00, 3.00,Top,270.0
C26,28.96,77.45,Top,90.0
C27,31.27,82.61,Top,90.0
C28,25.00, 8.90,Top,270.0
C29,25.00,14.80,Top,270.0
C31,25.00,20.70,Top,270.0
C33,25.00,26.60,Top,270.0
C35,25.00,32.50,Top,270.0
C37,25.00,38.40,Top,270.0
C39,25.00,44.30,Top,270.0
C41,25.00,50.20,Top,270.0
C43,25.00,56.10,Top,270.0
C45,25.00,62.00,Top,270.0
C47,25.00,67.90,Top,270.0
D1,39.40,72.30,Top,270.0
D2,37.74,96.55,Top,180.0
D3,38.90,77.82,Top,180.0
D4,27.30, 3.00,Top,270.0
D5,27.30, 8.90,Top,270.0
D6,27.30,14.80,Top,270.0
D7,42.05,72.20,Top,90.0
D8,27.30,20.70,Top,270.0
D9,36.35,98.45,Top,0.0
D10,27.30,26.60,Top,270.0
D11,30.50,91.60,Top,0.0
D12,27.30,32.50,Top,270.0
D13,28.40,91.60,Top,180.0
D14,27.30,38.40,Top,270.0
D16,27.30,44.30,Top,270.0
D18,27.30,50.20,Top,270.0
D20,27.30,56.10,Top,270.0
D22,27.30,62.00,Top,270.0
D24,27.30,67.90,Top,270.0
IC1,36.24,81.98,Top,0.0
IC2,37.90,35.46,Top,0.0
IC3,37.65,17.80,Top,0.0
IC4,25.45,87.95,Top,90.0
J1,29.59,95.82,Top,180.0
L1,44.88,83.61,Top,90.0
LED2,22.95,98.00,Top,270.0
Q14,22.50, 3.00,Top,0.0
Q15,22.50, 8.90,Top,0.0
Q16,22.50,14.80,Top,0.0
Q18,22.50,20.70,Top,0.0
Q20,22.50,26.60,Top,0.0
Q22,22.50,32.50,Top,0.0
Q24,22.50,38.40,Top,0.0
Q26,22.50,44.30,Top,0.0
Q28,22.50,50.20,Top,0.0
Q30,22.50,56.10,Top,0.0
Q32,22.50,62.00,Top,0.0
Q34,22.50,67.90,Top,0.0
R1,44.15,41.00,Top,0.0
R2,42.42,65.09,Top,90.0
R3, 7.75,63.10,Top,270.0
R4, 7.75,66.15,Top,270.0
R5,43.23,88.96,Top,180.0
R6,39.25,86.35,Top,90.0
R7, 7.75,14.30,Top,90.0
R8, 7.75,11.25,Top,90.0
R9,33.70,43.02,Top,180.0
R10,32.65,91.65,Top,180.0
R11,25.90,91.65,Top,0.0
R12,43.95, 9.75,Top,270.0
R13, 3.20,87.35,Top,90.0
R14,18.25,83.30,Top,0.0
R15, 0.93,86.73,Top,270.0
R16, 2.16,86.73,Top,90.0
R17,44.15,38.95,Top,180.0
R18,44.51,72.11,Top,270.0
R19,24.40,74.87,Top,270.0
R20, 6.35,82.20,Top,0.0
R55,38.17,86.37,Top,270.0
R57,44.30,30.70,Top,180.0
R58,44.30,31.75,Top,180.0
R59,31.55, 1.25,Top,0.0
R60,30.15, 3.85,Top,270.0
R82,11.30, 3.00,Top,0.0
R96,18.50, 3.00,Top,0.0
R97,24.20, 0.90,Top,180.0
R98,24.20, 5.10,Top,180.0
R100,11.30, 8.90,Top,0.0
R101,18.50, 8.90,Top,0.0
R102,24.20, 6.80,Top,180.0
R103,24.20,11.00,Top,180.0
R104,11.30,14.80,Top,0.0
R105,18.50,14.80,Top,0.0
R106,24.20,12.70,Top,180.0
R107,24.20,16.90,Top,180.0
R112,11.30,20.70,Top,0.0
R113,18.50,20.70,Top,0.0
R114,24.20,18.60,Top,180.0
R115,24.20,22.80,Top,180.0
R120,11.30,26.60,Top,0.0
R121,18.50,26.60,Top,0.0
R122,24.20,24.50,Top,180.0
R123,24.20,28.70,Top,180.0
