Comment,Designator,Footprint,LCSC Part #
1k,R61 R62 R183 R184,R0603,
3.3k,R10 R22 R28 R34 R40 R46 R52 R68 R74 R80 R87 R93 R189 R195 R201 R207 R213 R219 R225 R231 R237 R243 R249 R255,R0402,
5K1,R1 R2 R173 R174,R0603,
10R0,R4 R7 R8 R14 R20 R21 R25 R26 R27 R31 R32 R33 R37 R38 R39 R43 R44 R45 R49 R50 R51 R65 R66 R67 R71 R72 R73 R77 R78 R79 R84 R85 R86 R90 R91 R92 R186 R187 R188 R192 R193 R194 R198 R199 R200 R204 R205 R206 R210 R211 R212 R216 R217 R218 R222 R223 R224 R228 R229 R230 R234 R235 R236 R240 R241 R242 R246 R247 R248 R252 R253 R254,R1206,
10nF,C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C44 C45 C46 C47 C48 C49 C50 C51 C52 C53 C54 C55 C56,C0402,
12k,R57 R58 R181 R182,R0603,
27K,R16 R176,R0603,
100R,R3 R9 R12 R24 R30 R36 R42 R48 R64 R70 R76 R83 R89 R95 R185 R191 R197 R203 R209 R215 R221 R227 R233 R239 R245 R251 R257 R258,R0402,
100n,C20 C60,C0402,
100nF,C4 C18 C19 C57 C58 C59,C1206,
200R0,R53 R54 R55 R56 R177 R178 R179 R180,R0603,
470R,R11 R23 R29 R35 R41 R47 R63 R69 R75 R81 R88 R94 R190 R196 R202 R208 R214 R220 R226 R232 R238 R244 R250 R256,R0402,
470k,R15 R175,R0603,
BSS84LT1G,Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13 Q25 Q26 Q27 Q28 Q29 Q30 Q31 Q32 Q33 Q34 Q35 Q36,SOT96P237X111-3N,
KT-0603R,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48,CHIPLED_0603,
SM4007PL-TP,D2 D3 D5 D6,SODFL3616X135N,
