Designator,Mid X,Mid Y,Layer,Rotation
C1,47.17,41.43,Top,270.0
C2,19.02,73.08,Top,270.0
C3,46.86,52.32,Top,90.0
C4,47.17,36.35,Top,270.0
C5,19.53, 4.90,Top,0.0
C6, 9.40, 6.86,Top,180.0
C7, 9.40,10.41,Top,180.0
C8, 9.40,17.53,Top,180.0
C9, 9.40,13.97,Top,180.0
C10, 9.40,21.08,Top,180.0
C11, 9.40,24.64,Top,180.0
C12, 9.40,28.19,Top,180.0
C13, 9.40,31.75,Top,180.0
C14, 9.40,35.31,Top,180.0
C15, 9.40,38.86,Top,180.0
C16, 9.40,42.42,Top,180.0
C17, 9.40,45.97,Top,180.0
C18, 2.51,66.09,Top,270.0
C19,47.17,46.48,Top,90.0
C20,31.57,50.80,Top,270.0
C21,14.76,66.14,Top,90.0
C22,29.24,52.76,Top,270.0
C23,36.60,53.75,Top,90.0
C24,10.54,91.26,Top,180.0
D1, 3.51,59.59,Top,270.0
D2,21.54,84.91,Top,270.0
IC1, 9.22,72.97,Top,270.0
IC2,39.80,41.76,Top,0.0
L1, 9.19,61.34,Top,0.0
LED1, 8.26,51.02,Top,180.0
LED2,10.29,51.02,Top,180.0
LED4,14.36,51.02,Top,180.0
LED5,21.84, 6.86,Top,90.0
LED6,21.84,10.41,Top,90.0
LED7,21.84,17.53,Top,90.0
LED8,21.84,13.97,Top,90.0
LED9,21.84,21.08,Top,90.0
LED11,21.84,24.64,Top,90.0
LED12,21.84,28.19,Top,90.0
LED13,21.84,31.75,Top,90.0
LED14,21.84,35.31,Top,90.0
LED15,21.84,38.86,Top,90.0
LED16,21.84,42.42,Top,90.0
LED17,21.84,45.97,Top,90.0
Q2,25.02, 8.13,Top,180.0
Q3,25.02,11.68,Top,180.0
Q4,25.02,18.80,Top,180.0
Q5,25.02,15.24,Top,180.0
Q6,25.02,22.35,Top,180.0
Q7,25.02,25.91,Top,180.0
Q8,25.02,29.46,Top,180.0
Q9,25.02,33.02,Top,180.0
Q10,25.02,36.58,Top,180.0
Q11,25.02,40.13,Top,180.0
Q12,25.02,43.69,Top,180.0
Q13,25.02,47.24,Top,180.0
R1,42.75,49.45,Top,0.0
R3,16.48, 4.90,Top,180.0
R4,10.41, 8.38,Top,0.0
R7,15.49, 8.38,Top,0.0
R8,20.57, 8.38,Top,0.0
R9,33.25,49.07,Top,180.0
R10,27.43, 7.82,Top,270.0
R11,19.18, 6.86,Top,180.0
R12,12.45, 6.86,Top,0.0
R13,18.49, 3.30,Top,0.0
R14,10.41,11.94,Top,0.0
R15,44.70,67.56,Top,90.0
R16,42.67,67.56,Top,270.0
R17,42.75,51.54,Top,180.0
R18,19.99,65.41,Top,0.0
R19, 1.30,51.10,Top,270.0
R20,15.49,11.94,Top,0.0
R21,20.57,11.94,Top,0.0
R22,27.43,11.43,Top,270.0
R23,19.18,10.41,Top,180.0
R24,12.45,10.41,Top,0.0
R25,10.41,19.05,Top,0.0
R26,15.49,19.05,Top,0.0
R27,20.57,19.05,Top,0.0
R28,27.43,18.54,Top,270.0
R29,19.18,17.53,Top,180.0
R30,12.45,17.53,Top,0.0
R31,10.41,15.49,Top,0.0
R32,15.49,15.49,Top,0.0
R33,20.57,15.49,Top,0.0
R34,27.43,14.66,Top,270.0
R35,19.18,13.97,Top,180.0
R36,12.45,13.97,Top,0.0
R37,10.41,22.61,Top,0.0
R38,15.49,22.61,Top,0.0
R39,20.57,22.61,Top,0.0
R40,27.43,22.10,Top,270.0
R41,19.18,21.08,Top,180.0
R42,12.45,21.08,Top,0.0
R43,10.41,26.16,Top,0.0
R44,15.49,26.16,Top,0.0
R45,20.57,26.16,Top,0.0
R46,27.43,25.65,Top,270.0
R47,19.18,24.64,Top,180.0
R48,12.45,24.64,Top,0.0
R49,10.41,29.72,Top,0.0
R50,15.49,29.72,Top,0.0
R51,20.57,29.72,Top,0.0
R52,27.43,29.21,Top,270.0
R53, 8.26,54.07,Top,90.0
R54,10.29,54.07,Top,90.0
R56,14.36,54.07,Top,90.0
R57,22.10, 3.81,Top,90.0
R58,24.38, 3.81,Top,90.0
R63,19.18,28.19,Top,180.0
R64,12.45,28.19,Top,0.0
R65,10.41,33.27,Top,0.0
R66,15.49,33.27,Top,0.0
R67,20.57,33.27,Top,0.0
R68,27.43,32.77,Top,270.0
R69,19.18,31.75,Top,180.0
R70,12.45,31.75,Top,0.0
R71,10.41,36.83,Top,0.0
R72,15.49,36.83,Top,0.0
R73,20.57,36.83,Top,0.0
R74,27.43,36.32,Top,270.0
R75,19.18,35.31,Top,180.0
R76,12.45,35.31,Top,0.0
R77,10.41,40.39,Top,0.0
R78,15.49,40.39,Top,0.0
R79,20.57,40.39,Top,0.0
R80,27.43,39.88,Top,270.0
R81,19.18,38.86,Top,180.0
R83,12.45,38.86,Top,0.0
R84,10.41,43.94,Top,0.0
R85,15.49,43.94,Top,0.0
R86,20.57,43.94,Top,0.0
R87,27.43,43.43,Top,270.0
R88,19.18,42.42,Top,180.0
R89,12.45,42.42,Top,0.0
R90,10.41,47.50,Top,0.0
R91,15.49,47.50,Top,0.0
R92,20.57,47.50,Top,0.0
R93,27.43,46.99,Top,270.0
R94,19.18,45.97,Top,180.0
R95,12.45,45.97,Top,0.0
